id,named,lat,lng,own,dated
,동림동048,35.186075,126.862436,광주광역시 북구청,2020-06-30
,동림동049,35.185623,126.862344,광주광역시 북구청,2020-06-30
,동림동050,35.1861591,126.8632988,광주광역시 북구청,2020-06-30
,동림동051,35.186176,126.863676,광주광역시 북구청,2020-06-30
,동림동052,35.1861071,126.8636043,광주광역시 북구청,2020-06-30
,동림동053,35.186391,126.8640003,광주광역시 북구청,2020-06-30
,동림동054,35.1859878,126.8638556,광주광역시 북구청,2020-06-30
,동림동055,35.1858513,126.8642792,광주광역시 북구청,2020-06-30
,동림동056,35.186037,126.864172,광주광역시 북구청,2020-06-30
,동림동057,35.186341,126.863904,광주광역시 북구청,2020-06-30
,동림동058,35.186564,126.863725,광주광역시 북구청,2020-06-30
,동림동059,35.186255,126.864355,광주광역시 북구청,2020-06-30
,동림동060,35.186137,126.8647691,광주광역시 북구청,2020-06-30
,동림동061,35.186585,126.864944,광주광역시 북구청,2020-06-30
,동림동062,35.186811,126.865061,광주광역시 북구청,2020-06-30
,동림동063,35.186562,126.866371,광주광역시 북구청,2020-06-30
,동림동064,35.186365,126.866451,광주광역시 북구청,2020-06-30
,동림동065,35.186202,126.866376,광주광역시 북구청,2020-06-30
,동림동066,35.186048,126.866313,광주광역시 북구청,2020-06-30
,동림동067,35.185893,126.866161,광주광역시 북구청,2020-06-30
,동림동068,35.185775,126.866042,광주광역시 북구청,2020-06-30
,동림동069,35.185648,126.865934,광주광역시 북구청,2020-06-30
,동림동070,35.185502,126.865761,광주광역시 북구청,2020-06-30
,동림동071,35.185338,126.865609,광주광역시 북구청,2020-06-30
,동림동072,35.185291,126.865401,광주광역시 북구청,2020-06-30
,동림동073,35.185253,126.865161,광주광역시 북구청,2020-06-30
,동림동074,35.185206,126.864963,광주광역시 북구청,2020-06-30
,동림동075,35.185167,126.864689,광주광역시 북구청,2020-06-30
,동림동076,35.185092,126.864361,광주광역시 북구청,2020-06-30
,동림동077,35.185063,126.864119,광주광역시 북구청,2020-06-30
,동림동078,35.185007,126.863912,광주광역시 북구청,2020-06-30
,동림동079,35.184978,126.863725,광주광역시 북구청,2020-06-30
,동림동080,35.184931,126.863408,광주광역시 북구청,2020-06-30
,동림동081,35.185911,126.868082,광주광역시 북구청,2020-06-30
,동림동082,35.186101,126.868091,광주광역시 북구청,2020-06-30
,동림동083,35.1856387,126.8681086,광주광역시 북구청,2020-06-30
,동림동084,35.1854742,126.8682066,광주광역시 북구청,2020-06-30
,동림동085,35.1852627,126.8682763,광주광역시 북구청,2020-06-30
,동림동086,35.1850794,126.8685721,광주광역시 북구청,2020-06-30
,동림동087,35.1848992,126.8689381,광주광역시 북구청,2020-06-30
,동림동088,35.1850853,126.8691838,광주광역시 북구청,2020-06-30
,동림동089,35.1853436,126.8694377,광주광역시 북구청,2020-06-30
,동림동090,35.1856043,126.8698003,광주광역시 북구청,2020-06-30
,동림동091,35.1858028,126.8698263,광주광역시 북구청,2020-06-30
,동림동092,35.186004,126.8698555,광주광역시 북구청,2020-06-30
,동림동093,35.177109,126.858905,광주광역시 북구청,2020-06-30
